                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3807,                 3.1425,                 2.3495,                0.02015,                      1,                0.56797,                0.27069,                 1.3592,                 2.6725,                 1.4524,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.4913,                 2.1278,                 1.5384,                0.48399,                0.64072,                0.51704,                0.31023,                 1.2895,                 2.0024,                 1.3778,              0.0003466,              0.0003466,              0.0003466
                      3,                 1.3829,                 1.7198,                 1.4536,                0.33865,                0.53101,                 0.4181,                 0.1955,                 1.6702,                 1.9089,                 1.6441,             0.00052288,             0.00052288,             0.00052288
                      4,                 1.4236,                 1.5699,                 1.4939,                0.47925,                0.83947,                0.56206,                0.33656,                  1.323,                 1.4571,                 1.4152,             0.00069552,             0.00069552,             0.00069552
                      5,                 1.3577,                 1.4301,                 1.4225,                0.48756,                0.88842,                0.65973,                  0.382,                  1.241,                 1.4716,                 1.3121,             0.00086453,             0.00086453,             0.00086453
                      6,                 1.3027,                 1.3416,                 1.4006,                0.65122,                0.87068,                0.83502,                0.51251,                 1.2258,                 1.9338,                  1.385,              0.0010299,              0.0010299,              0.0010299
                      7,                 1.2737,                 1.2967,                 1.3809,                0.52826,                0.72319,                0.75918,                0.42445,                 1.3216,                 3.4995,                 1.3929,              0.0011917,              0.0011917,              0.0011917
                      8,                 1.2299,                 1.2212,                 1.3456,                  0.558,                  0.629,                0.68611,                0.38969,                 1.3026,                 1.8627,                 1.3873,              0.0013498,              0.0013498,              0.0013498
                      1,                 1.2433,                 1.2629,                  1.369,                0.60547,                0.82281,                0.79573,                0.48223,                 1.2303,                 1.7509,                 1.2866,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1902,                 1.2001,                 1.3262,                0.58895,                0.83381,                0.80456,                0.53066,                  1.185,                 1.3669,                 1.2703,              0.0003466,              0.0003466,              0.0003466
                      3,                 1.1757,                 1.1319,                 1.3236,                0.81567,                0.87059,                0.93333,                0.58348,                  1.219,                 1.0533,                 1.2959,             0.00052288,             0.00052288,             0.00052288
                      4,                   1.18,                  1.112,                 1.3438,                0.78426,                0.87758,                0.95058,                0.62341,                 1.1559,                 1.0784,                  1.278,             0.00069552,             0.00069552,             0.00069552
                      5,                 1.1414,                 1.0483,                 1.3097,                0.59332,                0.80093,                0.83521,                0.46971,                 1.3459,                 1.4668,                 1.3991,             0.00086453,             0.00086453,             0.00086453
                      6,                 1.1205,                 1.0222,                  1.294,                0.87491,                0.89004,                0.94174,                0.62095,                 1.1403,                 1.0285,                 1.3322,              0.0010299,              0.0010299,              0.0010299
                      1,                 1.0812,                 1.0371,                 1.2761,                0.89978,                0.89123,                0.95273,                0.61879,                 1.1417,                 0.9954,                 1.2457,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.0455,                0.98475,                  1.237,                0.71268,                0.87658,                0.91883,                0.53005,                 1.4213,                 1.2283,                 1.4128,              0.0003466,              0.0003466,              0.0003466
                      3,                 1.0493,                0.95963,                 1.2443,                0.91003,                0.90214,                 0.9433,                0.62986,                 1.1695,                0.91597,                 1.2231,             0.00052288,             0.00052288,             0.00052288
                      4,                 1.1174,                0.98444,                 1.2921,                0.90401,                0.88486,                0.96292,                0.65049,                 1.0572,                0.92111,                 1.1974,             0.00069552,             0.00069552,             0.00069552
                      5,                 1.0771,                0.96098,                 1.2685,                0.72484,                0.80883,                0.92912,                  0.597,                 1.1501,                 1.1481,                 1.2714,             0.00086453,             0.00086453,             0.00086453
                      6,                 1.0816,                 0.9759,                 1.2649,                0.80814,                0.89957,                0.89576,                 0.5237,                 1.2692,                 1.1128,                 1.3649,              0.0010299,              0.0010299,              0.0010299
                      1,                0.99015,                0.91949,                  1.217,                0.94168,                0.96126,                0.97627,                0.68654,                 1.0244,                0.83173,                 1.1452,              0.0001667,              0.0001667,              0.0001667
                      2,                0.91526,                 0.8508,                   1.17,                0.88402,                0.90093,                0.95588,                0.53835,                 1.4799,                 0.9553,                  1.475,              0.0003466,              0.0003466,              0.0003466
                      3,                0.98882,                0.88533,                 1.2045,                 0.9394,                0.93198,                0.96577,                0.63952,                 1.1994,                0.90463,                 1.2786,             0.00052288,             0.00052288,             0.00052288
                      1,                0.87388,                0.85159,                 1.1609,                0.94356,                0.97515,                0.97926,                0.69973,                 1.0548,                0.79727,                 1.1786,              0.0001667,              0.0001667,              0.0001667
                      2,                0.91878,                0.84325,                 1.1702,                 0.8763,                0.92409,                0.95516,                0.48951,                 1.6101,                0.97403,                 1.5565,              0.0003466,              0.0003466,              0.0003466
                      3,                 0.9524,                 0.8644,                 1.1867,                0.90634,                0.94641,                0.98209,                0.65749,                 1.1111,                0.97266,                 1.2074,             0.00052288,             0.00052288,             0.00052288
                      1,                0.82589,                0.80798,                 1.1414,                0.96029,                0.98084,                0.98846,                0.71476,                0.98652,                0.76666,                  1.155,              0.0001667,              0.0001667,              0.0001667
                      2,                0.91036,                0.83726,                 1.1662,                0.90045,                0.92211,                0.97238,                0.57965,                 1.3336,                0.95502,                  1.387,              0.0003466,              0.0003466,              0.0003466
                      3,                 0.9611,                 0.8731,                 1.1882,                0.97079,                0.92124,                0.97591,                0.65053,                  1.191,                0.89029,                 1.2523,             0.00052288,             0.00052288,             0.00052288
                      1,                 1.0948,                 1.1708,                  1.233,                0.85566,                0.72062,                0.85014,                0.52943,                 1.3445,                 1.2646,                  1.114,             0.00054641,             0.00054641,             0.00054641
                      2,                 1.1061,                 1.0298,                 1.2212,                0.89122,                0.74033,                0.88314,                0.54281,                 1.2869,                  1.235,                 1.1232,              0.0010912,              0.0010912,              0.0010912
                      3,                 1.1122,                0.99541,                  1.224,                0.84914,                 0.7693,                0.85145,                0.56175,                 1.3134,                 1.2088,                 1.1381,              0.0016249,              0.0016249,              0.0016249
                      4,                 1.0716,                0.91719,                 1.2053,                0.89579,                0.79612,                0.89711,                0.59963,                  1.187,                   1.11,                 1.0663,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0537,                0.87326,                 1.1892,                0.85699,                 0.7342,                0.85086,                0.55145,                 1.3144,                 1.3067,                  1.132,               0.001601,               0.001601,               0.001601
                      6,                 1.0399,                 0.8667,                 1.1604,                0.87667,                0.88861,                0.93994,                0.61373,                 1.2234,                0.87071,                 1.0478,              0.0015845,              0.0015845,              0.0015845
                      7,                0.98282,                0.78892,                 1.1493,                0.79879,                0.89951,                 0.9152,                0.61551,                 1.1674,                0.83287,                 1.0373,               0.001568,               0.001568,               0.001568
                      8,                0.95915,                0.74868,                 1.1281,                0.87526,                0.89706,                0.94251,                0.60556,                 1.1571,                0.79773,                 1.0588,              0.0015515,              0.0015515,              0.0015515
                      1,                 3.0617,                 4.6062,                 2.3829,                0.60291,                0.02274,                0.09114,                0.01503,                 2.0319,                  4.209,                 1.6746,              9.999e-05,              9.999e-05,              9.999e-05
                      2,                 1.4878,                  3.558,                 1.3896,                0.63634,                0.17359,                0.25928,                0.16851,                0.93899,                 3.0099,                 1.1334,               0.000209,               0.000209,               0.000209
                      3,                 1.0082,                 2.8048,                   1.12,                0.15248,                0.67154,                0.33575,                0.25491,                0.81581,                 3.7186,                 1.0125,             0.00031581,             0.00031581,             0.00031581
                      4,                0.84099,                  2.228,                 1.0285,                0.38754,                0.78712,                 0.4386,                0.36434,                0.68763,                 2.5526,                0.94228,             0.00042042,             0.00042042,             0.00042042
                      5,                0.74521,                 1.8589,                0.97222,                0.61034,                 0.6339,                0.53532,                0.44812,                0.66759,                  1.867,                 0.9072,             0.00052283,             0.00052283,             0.00052283
                      6,                0.69196,                 1.7202,                0.95114,                 0.5545,                0.81096,                0.59894,                0.52051,                0.59421,                 1.6098,                0.87215,             0.00062304,             0.00062304,             0.00062304
                      7,                0.65516,                 1.5632,                0.92817,                0.53574,                0.73587,                0.60857,                0.51023,                0.64541,                 1.5508,                0.91458,             0.00072105,             0.00072105,             0.00072105
                      8,                0.65146,                 1.5742,                0.93708,                0.66042,                0.76751,                0.70976,                  0.617,                 0.5647,                 1.4753,                0.88143,             0.00081687,             0.00081687,             0.00081687
                      9,                0.60349,                 1.3609,                0.92541,                0.69507,                0.76986,                0.78034,                0.68338,                0.59303,                 1.3272,                0.91249,             0.00091048,             0.00091048,             0.00091048
                     10,                0.59278,                 1.2427,                0.92323,                0.74523,                0.79108,                0.83355,                0.74181,                0.53013,                 1.3164,                0.87785,              0.0010019,              0.0010019,              0.0010019
                     11,                0.55723,                 1.0947,                0.90315,                0.82465,                0.81839,                0.89815,                 0.7946,                0.52459,                 1.1436,                0.88243,               0.001001,               0.001001,               0.001001
                     12,                0.58324,                 1.0847,                0.94961,                0.69784,                0.84864,                0.83585,                0.75506,                0.50706,                 1.2106,                0.86226,             0.00099001,             0.00099001,             0.00099001
                     13,                0.56049,                0.95893,                0.92259,                0.91621,                0.88712,                0.94576,                0.82805,                0.53973,                0.92256,                0.88387,             0.00097901,             0.00097901,             0.00097901
                     14,                0.57466,                0.89335,                0.91651,                0.95225,                0.91701,                0.96639,                0.86231,                 0.5075,                0.84033,                0.86834,             0.00096801,             0.00096801,             0.00096801
                     15,                0.55189,                0.84951,                0.92611,                0.92066,                0.91719,                0.95174,                0.83203,                0.54144,                0.85673,                0.89288,             0.00095702,             0.00095702,             0.00095702
                     16,                0.57129,                0.82424,                0.93401,                0.92007,                0.92322,                 0.9789,                 0.8735,                0.49786,                0.81142,                 0.8652,             0.00094602,             0.00094602,             0.00094602
                     17,                0.53056,                0.79142,                0.91369,                 0.9026,                0.99632,                0.98117,                0.88335,                0.49192,                0.78064,                0.87587,             0.00093502,             0.00093502,             0.00093502
